N_agents,sigma,steps,exponent,N_simulations,monopoly%,commune%,dynamic
20,0.1,10000,18.1,5.0,0.96996300369963,0.0015798420157984,monopoly
20,0.1,10000,18.2,5.0,0.9592840715928408,0.0011198880111988,monopoly
20,0.1,10000,18.3,5.0,0.9757624237576245,0.0011798820117988,monopoly
20,0.1,10000,18.4,5.0,0.9653634636536348,0.000979902009799,monopoly
20,0.1,10000,18.5,5.0,0.97006299370063,0.000939906009399,monopoly
20,0.1,10000,18.6,5.0,0.9728227177282271,0.000939906009399,monopoly
20,0.1,10000,18.7,5.0,0.9723427657234276,0.0011198880111988,monopoly
20,0.1,10000,18.8,5.0,0.9656834316568343,0.0012398760123987,monopoly
20,0.1,10000,18.9,5.0,0.9734226577342266,0.0011198880111988,monopoly
20,0.1,10000,19.0,5.0,0.9599040095990402,0.0011598840115988,monopoly
20,0.1,10000,19.1,5.0,0.968103189681032,0.0015198480151984,monopoly
20,0.1,10000,19.2,5.0,0.9582441755824418,0.0006799320067993,monopoly
20,0.1,10000,19.3,5.0,0.9589441055894412,0.0006399360063993,monopoly
20,0.1,10000,19.4,5.0,0.9655634436556344,0.0010598940105989,monopoly
20,0.1,10000,19.5,5.0,0.9621237876212378,0.0012598740125987,monopoly
20,0.1,10000,19.6,5.0,0.9526647335266472,0.0010798920107989,monopoly
20,0.1,10000,19.7,5.0,0.9576442355764424,0.000999900009999,monopoly
20,0.1,10000,19.8,5.0,0.9611038896110388,0.0010998900109989,monopoly
20,0.1,10000,19.9,5.0,0.967923207679232,0.0010798920107989,monopoly
30,0.05,10000,15.0,20.0,0.0,0.9999000099989996,commune
